departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-09-22 02:00, 2025-09-22 02:24, 0, taxi, 24, walk, 00
2025-09-22 02:40, 2025-09-22 03:04, 0, taxi, 24, walk, 00
2025-09-22 03:20, 2025-09-22 03:44, 0, taxi, 24, walk, 00
2025-09-22 03:27, 2025-09-22 04:03, 0, taxi, 19, walk, 06
2025-09-22 04:22, 2025-09-22 04:57, 0, walk, 02, taxi, 12
2025-09-22 04:22, 2025-09-22 04:57, 0, walk, 02, taxi, 12
2025-09-22 04:22, 2025-09-22 05:52, 1, walk, 02, walk, 06
2025-09-22 05:22, 2025-09-22 06:03, 1, walk, 02, walk, 06
2025-09-22 06:27, 2025-09-22 07:03, 0, taxi, 19, walk, 06
2025-09-22 07:22, 2025-09-22 08:03, 1, walk, 02, walk, 06
2025-09-22 08:27, 2025-09-22 09:03, 0, taxi, 19, walk, 06
2025-09-22 09:27, 2025-09-22 10:03, 0, taxi, 19, walk, 06
2025-09-22 10:16, 2025-09-22 11:03, 1, walk, 02, walk, 06
2025-09-22 10:50, 2025-09-22 11:33, 1, walk, 02, walk, 06
2025-09-22 11:22, 2025-09-22 12:03, 1, walk, 02, walk, 06
2025-09-22 12:16, 2025-09-22 13:03, 1, walk, 02, walk, 06
2025-09-22 13:22, 2025-09-22 14:03, 1, walk, 02, walk, 06
2025-09-22 13:29, 2025-09-22 16:03, 3, walk, 01, walk, 06
2025-09-22 14:27, 2025-09-22 15:03, 0, taxi, 19, walk, 06
2025-09-22 14:40, 2025-09-22 15:04, 0, taxi, 24, walk, 00
2025-09-22 14:45, 2025-09-22 15:18, 0, taxi, 22, walk, 05
2025-09-22 15:20, 2025-09-22 15:44, 0, taxi, 24, walk, 00
2025-09-22 15:50, 2025-09-22 16:25, 0, walk, 02, taxi, 12
2025-09-22 15:50, 2025-09-22 17:03, 1, walk, 02, walk, 06
2025-09-22 17:22, 2025-09-22 18:03, 1, walk, 02, walk, 06
2025-09-22 18:27, 2025-09-22 19:03, 0, taxi, 19, walk, 06
2025-09-22 18:40, 2025-09-22 19:04, 0, taxi, 24, walk, 00
2025-09-22 18:45, 2025-09-22 19:18, 0, taxi, 22, walk, 05
2025-09-22 19:20, 2025-09-22 19:44, 0, taxi, 24, walk, 00
2025-09-22 20:00, 2025-09-22 20:24, 0, taxi, 24, walk, 00
2025-09-22 20:40, 2025-09-22 21:04, 0, taxi, 24, walk, 00